_RAJ2000	_DEJ2000	_V	RAJ2000	DEJ2000	objID	f_objID	Qual	e_RAJ2000	e_DEJ2000	Epoch	Ns	Nd	gmag	e_gmag	gKmag	e_gKmag	gFlags	rmag	e_rmag	rKmag	e_rKmag	rFlags	imag	e_imag	iKmag	e_iKmag	iFlags	zmag	e_zmag	zKmag	e_zKmag	zFlags	ymag	e_ymag	yKmag	e_yKmag	yFlags
---------------	---------------	----------	-------------	-------------	------------------	----------	---	------------	------------	---------------	--	---	--------	-------	-------	-------	--------	-------	-------	-------	-------	--------	-------	-------	-------	-------	--------	-------	-------	-------	-------	--------	-------	-------	-------	-------	--------
000.98366709000	+09.79609685000	VizieR	000.983667090	+09.796096850	119750009835355913	436281344	52	0.1031	0.1031	56284.201875000	2	3	 	 	 	 	16416	 	 	 	 	114720	22.1219	0.1950	21.8361	0.2895	115000	 	 	 	 	16416	19.3240	0.1555	 	 	16793904
000.99122067000	+09.79852541000	VizieR	000.991220670	+09.798525410	119750009912538710	436363264	52	0.0728	0.0728	56208.630219910	4	7	 	 	 	 	16416	22.1267	0.1852	21.6758	0.2642	115000	21.3412	0.1010	21.1678	0.1150	115000	21.1123	0.1169	20.7508	0.2565	115000	 	 	 	 	114720
000.98610764000	+09.79774775000	VizieR	000.986107640	+09.797747750	119750009861067846	444915712	53	0.0130	0.0143	56072.227256940	4	51	22.0327	0.1829	21.6573	0.1641	16696	21.2913	0.0431	20.6292	0.1212	16892216	20.4657	0.0440	19.7792	0.0508	16892216	19.9866	0.0448	19.4277	0.0991	16892216	19.7072	0.0575	19.0674	0.0879	16892216
000.98577950000	+09.79937441000	VizieR	000.985779500	+09.799374410	119750009857269734	444915712	53	0.1047	0.0852	56125.669942130	3	12	 	 	 	 	16416	 	 	 	 	16416	21.3916	0.0721	20.3943	0.1537	16892216	21.0439	0.0434	20.1805	0.1855	16892216	 	 	 	 	114720
000.98474788000	+09.79701630000	VizieR	000.984747880	+09.797016300	119750009847956861	310452224	37	0.0986	0.0986	55747.707210650	0	3	 	 	 	 	0	22.1218	0.0284	21.6877	0.2344	280	21.3608	0.1635	20.7570	0.1849	16777496	 	 	 	 	0	 	 	 	 	0
000.98235812000	+09.79542457000	VizieR	000.982358120	+09.795424570	119750009824514945	444669952	53	0.0693	0.0693	55460.574803240	3	4	 	 	 	 	16416	21.6405	0.1787	21.2082	0.2223	16892216	21.7305	0.2686	21.1699	0.1349	115000	 	 	 	 	114720	 	 	 	 	16416
000.98452472000	+09.79712073000	VizieR	000.984524720	+09.797120730	119750009844727127	444915712	53	0.0733	0.0670	55938.061967590	4	15	 	 	 	 	16416	21.8744	0.1116	21.0316	0.1764	16892216	21.5911	0.0055	21.0005	0.1518	16892216	21.1349	0.0659	 	 	16892216	 	 	 	 	114720
000.96600039000	+09.81889047000	VizieR	000.966000390	+09.818890470	119780009659963132	436527104	52	0.0380	0.0567	55855.162013890	4	22	22.1748	0.1809	21.2431	0.1621	16892216	21.8507	0.0911	21.4715	0.0447	16892216	21.4852	0.0669	21.0168	0.1722	115000	21.1769	0.0033	21.1252	0.1288	115000	 	 	 	 	16416
000.97761686000	+09.80566111000	VizieR	000.977616860	+09.805661110	119760009776087338	436527104	52	0.0112	0.0112	56034.064166670	5	56	21.8662	0.1745	21.6444	0.2649	16892216	21.2489	0.0257	21.3444	0.0608	115000	20.3549	0.0228	20.4547	0.0452	115000	19.9268	0.0224	20.0395	0.0552	115000	19.6403	0.0319	19.6294	0.0703	115000
000.98653617000	+09.80280497000	VizieR	000.986536170	+09.802804970	119760009865243941	436527104	52	0.0251	0.0233	56033.475694440	4	46	 	 	 	 	0	21.5655	0.0503	21.4353	0.0771	115000	20.8363	0.0693	20.4342	0.0883	16892216	20.4683	0.0486	20.0303	0.0937	16892216	19.9649	0.0665	19.7801	0.1483	115000
000.97915825000	+09.80612602000	VizieR	000.979158250	+09.806126020	119760009791937841	302063616	36	0.0164	0.0164	55455.768645830	0	4	 	 	 	 	0	20.4739	0.2207	19.8824	0.0000	536	19.0708	0.0178	19.0166	0.0000	536	 	 	 	 	0	 	 	 	 	0
000.97293338000	+09.80275784000	VizieR	000.972933380	+09.802757840	119760009728983823	436527104	52	0.0382	0.0369	56039.484224540	4	17	 	 	 	 	16416	 	 	 	 	114720	21.6384	0.1163	21.7606	0.1048	115000	20.9022	0.0532	20.8660	0.2208	115000	19.5331	0.1817	19.3537	0.2543	114992
000.96522314000	+09.79728987000	VizieR	000.965223140	+09.797289870	119750009651937188	436527104	52	0.0474	0.0409	56217.575289350	4	16	 	 	 	 	16416	22.0966	0.1949	21.6745	0.2804	16892216	21.3832	0.0363	21.4572	0.1181	115000	20.9992	0.0393	20.8054	0.2965	115000	 	 	 	 	114720
000.98407915000	+09.79827701000	VizieR	000.984079150	+09.798277010	119750009840768446	444915712	53	0.0532	0.0448	56073.277291670	3	18	 	 	 	 	16416	 	 	 	 	16416	21.5485	0.1209	20.8670	0.0598	16892216	20.7212	0.0214	19.9904	0.1693	16892216	 	 	 	 	114720
000.96568488000	+09.81179134000	VizieR	000.965684880	+09.811791340	119770009656564681	436527104	52	0.0070	0.0127	55833.760081020	5	76	19.3359	0.0110	19.4738	0.0240	115000	19.3082	0.0100	19.3905	0.0178	115000	19.3239	0.0086	19.4502	0.0125	115000	19.3987	0.0339	19.5165	0.0352	115000	19.4136	0.0455	19.5095	0.0804	115000
000.96192176000	+09.81156446000	VizieR	000.961921760	+09.811564460	119770009619114368	436527104	52	0.0222	0.0229	55947.589895830	4	31	 	 	 	 	16416	22.1343	0.0174	22.2570	0.0080	115000	21.0885	0.0188	21.2210	0.0741	115000	20.5283	0.0468	20.6016	0.0542	115000	19.8963	0.0636	19.5205	0.1939	115000
000.96637297000	+09.81621992000	VizieR	000.966372970	+09.816219920	119770009663589997	436281344	52	0.0970	0.0970	55853.146250000	3	3	 	 	 	 	16416	 	 	 	 	114720	21.8374	0.0346	21.4649	0.2142	115000	20.7279	0.1499	21.0810	0.3051	114992	 	 	 	 	16416
000.97355523000	+09.81419573000	VizieR	000.973555230	+09.814195730	119770009735387504	436527104	52	0.0133	0.0134	56043.853969910	4	47	 	 	 	 	16416	21.6220	0.0396	21.6814	0.1096	115000	20.5502	0.0191	20.6421	0.0548	115000	20.0462	0.0658	20.1930	0.1056	115000	19.7274	0.1073	19.5032	0.2359	115000
001.05857197000	+09.81670241000	VizieR	001.058571970	+09.816702410	119780010588380589	302067712	36	0.1472	0.1472	55457.489085650	0	3	21.3853	0.0027	20.9222	0.1075	4120	21.4455	0.1464	20.1810	0.0863	16777496	 	 	 	 	0	 	 	 	 	0	 	 	 	 	0
001.06941809000	+09.80474517000	VizieR	001.069418090	+09.804745170	119760010695026356	268959744	32	0.1499	0.1499	56152.064861110	0	3	 	 	 	 	0	21.6179	0.0290	 	 	4112	 	 	 	 	0	21.2535	0.3229	 	 	4112	 	 	 	 	0
001.04860808000	+09.80201450000	VizieR	001.048608080	+09.802014500	119760010485163127	310456320	37	0.0120	0.0120	55823.377372690	0	3	 	 	 	 	0	18.6320	0.1153	17.9883	0.0360	16777752	18.5741	0.0141	17.5949	0.0144	16777752	 	 	 	 	0	 	 	 	 	0
001.05938107000	+09.81264489000	VizieR	001.059381070	+09.812644890	119770010593445819	268959744	32	0.1291	0.1291	56381.995868060	0	3	 	 	 	 	0	21.7724	0.2130	20.9403	0.2211	4120	21.6477	0.2295	 	 	4120	 	 	 	 	0	 	 	 	 	0
001.06568869000	+09.79887307000	VizieR	001.065688690	+09.798873070	119750010656098870	310452224	37	0.0595	0.0595	56085.110995370	0	5	21.6746	0.2627	 	 	4120	 	 	 	 	0	 	 	 	 	0	20.4522	0.0651	20.0631	0.0148	16777496	 	 	 	 	0
001.04434187000	+09.81171761000	VizieR	001.044341870	+09.811717610	119770010443224630	444915712	53	0.0255	0.0240	56131.855729170	5	43	21.7917	0.0639	21.5699	0.0563	115000	21.2397	0.0341	20.9655	0.0594	16892216	20.8478	0.0560	20.4319	0.1007	16892216	20.7545	0.0728	20.4351	0.1230	115000	 	 	 	 	114720
001.04158085000	+09.79977285000	VizieR	001.041580850	+09.799772850	119760010414970251	503635968	60	0.0187	0.0103	56030.066018520	5	62	17.6973	0.0111	17.7652	0.0087	115000	17.1189	0.0023	17.1744	0.0049	115000	16.8507	0.0014	16.9334	0.0062	115000	16.7465	0.0078	16.8357	0.0068	115000	16.6777	0.0079	16.7930	0.0107	115000
001.05405527000	+09.82005068000	VizieR	001.054055270	+09.820050680	119780010540144664	436363264	52	0.0837	0.0837	56032.737210650	3	4	 	 	 	 	16416	 	 	 	 	114720	21.6198	0.1551	 	 	115000	 	 	 	 	114720	 	 	 	 	16416
001.05024551000	+09.81704136000	VizieR	001.050245510	+09.817041360	119780010500831005	444915712	53	0.0355	0.0204	56132.705960650	5	43	22.1017	0.1746	20.8815	0.1373	16892216	21.3349	0.0451	20.5812	0.0321	16892216	20.7027	0.0604	20.0636	0.0692	16892216	20.3907	0.0073	19.8340	0.1201	16892216	19.5005	0.4394	18.5860	0.0000	115000
001.06568158000	+09.79887788000	VizieR	001.065681580	+09.798877880	119750010656579235	444915712	53	0.0297	0.0359	56192.430879630	4	30	 	 	 	 	16416	21.4252	0.0501	20.9249	0.0894	16892216	20.7442	0.0853	20.2778	0.0086	16892216	20.3907	0.1325	20.0849	0.0608	16892216	20.0320	0.0023	 	 	16892216
