_RAJ2000	_DEJ2000	_V	mode	q_mode	cl	SDSS8	m_SDSS8	Im	RA_ICRS	DE_ICRS	zsp	umag	e_umag	gmag	e_gmag	rmag	e_rmag	imag	e_imag	zmag	e_zmag	Q	ObsDate	objID
------------	------------	----------	-	----------	-	----------	----------	----------	----------	----------	--------	------	------	------	------	------	------	------	------	------	------	-	---------	-------------------
000.58230200	+10.32484000	VizieR	1	+	6	J000219.75+101929.4	 	Im	000.582302	+10.324840	 	20.741	0.061	18.079	0.006	16.580	0.006	15.659	0.005	15.150	0.006	3	2008.9968	1237679319089610847
000.56702800	+10.20827800	VizieR	1	+	6	J000216.08+101229.8	 	Im	000.567028	+10.208278	 	17.045	0.009	15.881	0.004	15.420	0.005	15.851	0.006	15.179	0.006	3	2008.9968	1237679319089610755
000.54957600	+10.27510900	VizieR	1	+	6	J000211.89+101630.3	 	Im	000.549576	+10.275109	 	19.505	0.029	17.279	0.005	16.304	0.005	15.930	0.006	15.730	0.007	3	2008.9968	1237679319089545383
000.53787900	+10.29309000	VizieR	1	+	6	J000209.09+101735.1	 	Im	000.537879	+10.293090	 	18.116	0.014	16.877	0.005	16.402	0.005	16.221	0.006	16.150	0.008	3	2008.9968	1237679319089545287
000.52991000	+10.28483400	VizieR	1	+	6	J000207.17+101705.4	 	Im	000.529910	+10.284834	 	18.250	0.015	17.023	0.005	16.551	0.006	16.379	0.006	16.306	0.009	3	2008.9968	1237679319089545285
000.52725400	+10.26018500	VizieR	1	+	6	J000206.54+101536.6	 	Im	000.527254	+10.260185	 	18.722	0.019	16.975	0.005	16.278	0.005	15.997	0.006	15.839	0.007	3	2008.9968	1237679319089545283
000.52074800	+10.20564900	VizieR	1	+	6	J000204.97+101220.3	 	Im	000.520748	+10.205649	 	19.723	0.032	17.337	0.005	16.359	0.006	15.995	0.006	15.796	0.007	3	2008.9968	1237679319089545362
000.51974400	+10.24486300	VizieR	1	+	6	J000204.73+101441.5	 	Im	000.519744	+10.244863	 	17.173	0.010	15.861	0.004	15.349	0.005	15.711	0.005	15.077	0.006	3	2008.9968	1237679319089545280
000.48788300	+10.20510600	VizieR	1	+	6	J000157.09+101218.3	 	Im	000.487883	+10.205106	 	19.426	0.027	17.051	0.005	16.003	0.005	15.619	0.006	15.390	0.007	3	2008.9968	1237679319089545343
000.55094800	+09.82361900	VizieR	1	+	6	J000212.22+094925.0	 	Im	000.550948	+09.823619	 	18.856	0.020	17.494	0.005	16.982	0.006	16.770	0.006	16.664	0.010	3	2008.9968	1237679318552674376
000.55049400	+09.79117600	VizieR	1	+	6	J000212.11+094728.2	 	Im	000.550494	+09.791176	 	17.769	0.012	16.311	0.004	15.726	0.006	15.490	0.006	15.355	0.006	3	2008.9968	1237679318552674373
000.53259200	+09.86940900	VizieR	1	+	6	J000207.82+095209.8	 	Im	000.532592	+09.869409	 	20.792	0.061	18.215	0.007	16.965	0.006	16.445	0.006	16.112	0.008	3	2008.9968	1237679318552674460
000.52799400	+09.79118100	VizieR	1	+	6	J000206.71+094728.2	 	Im	000.527994	+09.791181	 	20.278	0.043	17.899	0.006	16.758	0.006	16.279	0.006	15.987	0.008	3	2008.9968	1237679318552674456
