# Mask name, center:
A384B              2:48:03.30   -2:15:57.3  2000.0 PA=-120.0 ##

#  Guider center:    2:47:54.93   -2:15:44.8

# Selected Objects:

9840564628       02:47:56.189 -02:15:47.29 2000.0 16.42 r   -1 0 1
1024508517       02:48:24.599 -02:15:35.80 2000.0 18.79 r   -2 0 1
1211604107       02:48:29.089 -02:13:49.04 2000.0 18.14 r   -2 0 1
9206376069       02:47:40.971 -02:21:12.90 2000.0 16.83 r   -2 0 1
9155673480       02:47:39.748 -02:18:50.79 2000.0 19.75 r   -2 0 1
9652937473       02:47:51.669 -02:21:38.79 2000.0 20.30 r  525 1 1 39
9459334176       02:47:47.039 -02:16:48.84 2000.0 20.69 r  723 1 1 39
9671065136       02:47:52.109 -02:16:45.69 2000.0 21.51 r  107 1 1 39
9684538718       02:47:52.442 -02:16:35.36 2000.0 21.81 r  387 1 1 39
0322007323       02:48:07.735 -02:16:39.52 2000.0 18.17 r 2770 1 1 39
0334770169       02:48:08.030 -02:17:00.66 2000.0 21.51 r  339 1 1 39
0366074224       02:48:08.793 -02:16:48.54 2000.0 19.87 r   70 1 1 39
0431234529       02:48:10.367 -02:16:47.70 2000.0 20.86 r   95 1 1 39
0451915804       02:48:10.853 -02:16:43.78 2000.0 21.58 r    7 1 1 39
0541079683       02:48:12.990 -02:16:32.16 2000.0 20.02 r 4899 1 1 39
0672979648       02:48:16.165 -02:16:32.57 2000.0 21.13 r    4 1 1 39
0957146997       02:48:22.992 -02:16:40.22 2000.0 19.83 r 4518 1 1 39
1284190697       02:48:30.827 -02:11:59.29 2000.0 18.82 r 10864 1 1 39
9814680241       02:47:55.564 -02:16:30.48 2000.0 19.76 r 9099 1 1 39
9919150774       02:47:58.065 -02:16:28.95 2000.0 20.62 r  228 1 1 39
0081009604       02:48:01.942 -02:16:02.44 2000.0 20.69 r  147 1 1 39
0540134261       02:48:12.966 -02:16:18.47 2000.0 20.95 r    5 1 1 39
0604769138       02:48:14.531 -02:16:03.85 2000.0 20.14 r 5125 1 1 39
0788353193       02:48:18.934 -02:16:21.56 2000.0 19.81 r 6710 1 1 39
0856032059       02:48:20.549 -02:16:25.03 2000.0 21.30 r  133 1 1 39
0880431935       02:48:21.155 -02:16:25.53 2000.0 21.78 r  441 1 1 39
1011601281       02:48:24.341 -02:11:27.73 2000.0 19.68 r  950 1 1 39
1177550002       02:48:28.272 -02:11:31.45 2000.0 20.44 r 1739 1 1 39
1265221676       02:48:30.366 -02:11:26.28 2000.0 20.45 r  676 1 1 39
1271904865       02:48:30.532 -02:11:16.19 2000.0 21.52 r 1185 1 1 39
9437908201       02:47:46.524 -02:20:36.62 2000.0 21.15 r  154 1 1 39
9827581312       02:47:55.882 -02:15:56.98 2000.0 21.41 r  350 1 1 39
0087677957       02:48:02.097 -02:15:38.23 2000.0 20.05 r  124 1 1 39
9873442145       02:47:56.995 -02:20:24.45 2000.0 21.08 r  838 1 1 39
9954778803       02:47:58.926 -02:20:05.03 2000.0 20.87 r 1567 1 1 39
9849981037       02:47:56.412 -02:15:28.16 2000.0 18.45 r 23912 1 1 39
9946262153       02:47:58.737 -02:15:24.56 2000.0 21.18 r  295 1 1 39
0264883804       02:48:06.364 -02:15:19.71 2000.0 20.97 r   77 1 1 39
0393794638       02:48:09.464 -02:15:17.13 2000.0 21.52 r  264 1 1 39
0587921421       02:48:14.123 -02:15:27.03 2000.0 19.94 r 1243 1 1 39
0606043903       02:48:14.537 -02:15:19.53 2000.0 17.80 r  180 1 1 39
0864084283       02:48:20.746 -02:15:18.50 2000.0 20.93 r 1201 1 1 39
0912705334       02:48:21.909 -02:15:15.45 2000.0 19.60 r 6070 1 1 39
1030212207       02:48:24.763 -02:15:24.96 2000.0 21.75 r   61 1 1 39
9129709280       02:47:39.122 -02:19:33.42 2000.0 21.63 r  158 1 1 39
9281604385       02:47:42.776 -02:19:48.16 2000.0 20.27 r 2314 1 1 39
9613637986       02:47:50.731 -02:19:37.27 2000.0 20.02 r 4073 1 1 39
9664315235       02:47:51.946 -02:19:45.58 2000.0 21.59 r  184 1 1 39
9918081720       02:47:58.050 -02:19:55.82 2000.0 20.70 r  406 1 1 39
