RA,DEC,z,delta_z
42.157,-2.1409194444444446,0.627354,0.000244
42.09658333333333,-2.379202777777778,-0.000735,0.000122
41.987583333333326,-2.3577694444444446,0.619741,0.00017
41.918499999999995,-2.4159944444444443,0.575144,0.0003
41.968708333333325,-2.185458333333333,0.708035,9.3e-05
42.006916666666655,-2.2120583333333337,0.235899,3.2e-05
41.954874999999994,-2.2408805555555555,0.588873,0.000193
42.00999999999999,-2.2814305555555556,2.39496,0.000381
41.95445833333332,-2.2915194444444444,0.204626,2.8e-05
42.034749999999995,-2.2769944444444445,0.233756,3.4e-05
42.05920833333332,-2.2679194444444444,0.241687,2.9e-05
42.15808333333333,-2.1890777777777775,0.382456,8.2e-05
42.137916666666655,-2.1539027777777777,0.238126,8.5e-05
42.09966666666666,-2.148241666666667,0.382535,5.5e-05
42.11120833333332,-2.2312944444444445,0.228776,3.5e-05
42.171208333333325,-2.1685916666666665,0.458431,0.000103
42.18120833333332,-2.2947888888888888,0.552741,0.000148
42.14629166666666,-2.3118583333333333,0.403783,9e-05
42.13924999999999,-2.4112916666666666,0.000163,6e-06
41.99162499999999,-2.1469222222222224,0.913739,0.000337
42.06737499999999,-2.257913888888889,0.238967,0.000109
42.01829166666666,-2.302938888888889,0.239137,3.1e-05
42.04716666666666,-2.2681472222222223,0.240021,3.6e-05
42.038708333333325,-2.3003916666666666,0.232524,4.9e-05
42.081291666666665,-2.2805027777777775,0.238354,0.000106
42.057583333333326,-2.2833638888888887,0.238842,0.000176
42.06741666666666,-2.317569444444444,0.237931,5.5e-05
42.07662499999999,-2.240313888888889,0.240734,3.6e-05
42.03687499999999,-2.2487444444444447,1.04418,0.000342
42.066708333333324,-2.238725,0.237244,5.7e-05
42.06279166666666,-2.1989638888888887,1.85526,0.001322
42.03637499999999,-2.2837777777777775,0.233757,5.1e-05
42.00337499999999,-2.27555,0.232536,7.7e-05
42.05570833333333,-2.266475,0.243659,9.9e-05
42.08254166666666,-2.225388888888889,0.236103,3.8e-05
42.090416666666655,-2.2513083333333332,0.23512,3.1e-05
42.173083333333324,-2.3170777777777776,0.551416,0.000247
42.07583333333332,-2.2846805555555556,0.23542,9e-05
42.06924999999999,-2.330544444444444,0.239241,6.1e-05
42.14654166666666,-2.231447222222222,0.831817,5.2e-05
42.11337499999999,-2.176058333333333,0.786628,6.9e-05
42.12754166666666,-2.1874166666666666,0.669652,0.000125
42.14158333333333,-2.391525,0.918503,0.000104
42.07824999999999,-2.2655194444444446,0.839201,6.8e-05
42.066624999999995,-2.232838888888889,1.05684,9.7e-05
41.988583333333324,-2.263952777777778,0.719412,8e-05
41.92591666666666,-2.3791444444444445,1.27631,0.000145
41.982208333333325,-2.3861305555555554,0.685394,9.6e-05
41.970499999999994,-2.191822222222222,0.159104,4.1e-05
42.08391666666665,-2.188822222222222,0.239001,2.7e-05
41.89066666666666,-2.192111111111111,0.832187,4.1e-05
42.09834,-2.23767,-0.000343,0.0
42.11521,-2.35939,0.178657,0.0
