# ra(deg)          dec(deg)    z     z_uncertainty
17.264166 32.911357 0.484465 0.000159
17.318875 33.086322 0.541318 0.000157
17.324111 33.026282 0.328458 6.9e-05
17.299821 32.965282 0.64435 0.000151
17.329794 32.98826 0.461644 9.9e-05
17.384378 33.065285 0.462567 0.000104
17.402568 33.182733 2.56823 0.000489
17.514915 33.159892 0.625285 0.00014
17.441171 33.093237 0.542161 0.00013
17.426235 33.074801 0.445723 0.000125
17.428124 33.041103 0.465259 0.000134
17.470624 33.119226 0.458881 0.000107
17.36767 33.028574 0.465125 0.0001
17.388544 33.037332 0.449104 7.7e-05
17.445862 32.909911 0.459303 0.000126
17.516019 33.095734 0.622646 0.000165
17.505816 32.906397 0.035134 1e-05
17.474582 32.958104 -0.000871 6e-05
17.345314 33.063735 0.758028 0.000174
17.389217 32.917418 1.52434 0.000539
17.334511 33.17966 0.659807 0.000159
17.433952 33.172259 1.18531 0.000384
17.367984 33.030921 0.17896 2.5e-05
17.44019 32.966438 2.01049 0.000211
17.270464 32.921944 1.2749 0.000383
17.260925 33.172894 1.3051 0.000588
17.260517 32.97382 1.49196 0.000774
17.505263 32.905588 0.035064 1.2e-05
17.22651 33.03852 0.540965 0.0
