OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
8675267394,00:03:28.216,+09:57:50.41,2000.0,21.01,r,2342,1,1,-98
8843825744,00:03:32.259,+09:57:45.79,2000.0,20.29,r,4471,1,1,-98
9073534801,00:03:37.756,+09:57:42.38,2000.0,20.57,r,1385,1,1,-98
9261557339,00:03:42.273,+09:57:50.37,2000.0,22.02,r,182,1,1,-98
8749619431,00:03:29.996,+09:58:56.93,2000.0,21.02,r,1342,1,1,-98
9386103805,00:03:45.283,+09:58:39.78,2000.0,19.97,r,6120,1,1,-98
9258945705,00:03:42.199,+09:58:15.12,2000.0,20.72,r,1543,1,1,-98
9136085929,00:03:39.254,+10:00:16.39,2000.0,20.82,r,1982,1,1,-98
8840061095,00:03:32.179,+09:59:31.89,2000.0,20.94,r,913,1,1,-98
9097560626,00:03:38.352,+09:59:30.18,2000.0,19.75,r,14642,1,1,-98
9259378281,00:03:42.218,+09:59:53.37,2000.0,21.48,r,350,1,1,-98
9202491693,00:03:40.861,+10:01:33.55,2000.0,20.07,r,5845,1,1,-98
9257475695,00:03:42.174,+10:01:45.76,2000.0,21.46,r,412,1,1,-98
9347552427,00:03:44.343,+10:01:35.69,2000.0,20.57,r,5418,1,1,-98
9461099965,00:03:47.071,+10:01:58.30,2000.0,20.46,r,1701,1,1,-98
9494802134,00:03:47.876,+10:01:34.94,2000.0,20.58,r,3181,1,1,-98
9225310070,00:03:41.436,+10:00:58.93,2000.0,21.32,r,929,1,1,-98
9425859548,00:03:46.214,+10:01:27.23,2000.0,21.20,r,4024,1,1,-98
8885499037,00:03:33.261,+10:00:55.54,2000.0,21.12,r,362,1,1,-98
8947860262,00:03:34.762,+10:00:28.81,2000.0,21.10,r,2368,1,1,-98
9214727009,00:03:41.163,+10:00:48.83,2000.0,20.83,r,2437,1,1,-98
9244950939,00:03:41.877,+10:00:31.29,2000.0,21.55,r,216,1,1,-98
9295327017,00:03:43.101,+10:00:49.40,2000.0,21.42,r,552,1,1,-98
9386650579,00:03:45.265,+10:00:30.04,2000.0,20.70,r,1587,1,1,-98
9412705292,00:03:45.915,+10:00:44.35,2000.0,21.33,r,1035,1,1,-98
9514243201,00:03:48.344,+10:00:37.86,2000.0,20.02,r,3303,1,1,-98
8740083030,00:03:29.782,+09:59:07.45,2000.0,20.53,r,3744,1,1,-98
8901489142,00:03:33.663,+09:59:25.56,2000.0,20.95,r,616,1,1,-98
9156730230,00:03:39.763,+09:58:58.89,2000.0,20.47,r,1689,1,1,-98
9500371576,00:03:48.038,+09:59:02.73,2000.0,21.42,r,497,1,1,-98
9263149580,00:03:42.313,+10:02:27.28,2000.0,20.18,r,7968,1,1,-98
