# Mask name, center:
RMJ0003B           0:03:50.05   10:04:22.1  2000.0 PA=-140.0 ##

#  Guider center:    0:03:41.78   10:03:51.1

# Selected Objects:

8927069780       00:03:34.263 +10:03:57.80 2000.0 15.74 r   -1 0 1
9087405233       00:03:38.100 +09:58:44.07 2000.0 18.17 r   -2 0 1
8721164729       00:03:29.314 +09:58:42.75 2000.0 19.53 r   -2 0 1
8810736535       00:03:31.458 +09:57:48.09 2000.0 19.52 r   -2 0 1
0659492824       00:04:15.821 +10:07:06.77 2000.0 18.89 r   -2 0 1
0189359541       00:04:04.541 +10:09:26.92 2000.0 17.21 r   -2 0 1
9045648334       00:03:37.158 +09:57:23.64 2000.0 21.00 r  637 1 1 -98
8541609913       00:03:25.014 +09:58:58.10 2000.0 20.61 r 4961 1 1 -98
9363621614       00:03:44.726 +09:58:33.22 2000.0 20.88 r  744 1 1 -98
9340009833       00:03:44.164 +09:58:27.83 2000.0 20.48 r 4232 1 1 -98
8937131009       00:03:34.515 +10:00:01.01 2000.0 20.73 r 1970 1 1 -98
9097560626       00:03:38.352 +09:59:30.18 2000.0 19.75 r 14642 1 1 -98
8880001157       00:03:33.128 +10:01:31.96 2000.0 20.63 r 2364 1 1 -98
9190586401       00:03:40.579 +10:01:47.58 2000.0 20.66 r 3906 1 1 -98
9202491693       00:03:40.861 +10:01:33.55 2000.0 20.07 r 5845 1 1 -98
9331360221       00:03:43.955 +10:01:29.01 2000.0 20.87 r 2319 1 1 -98
9433233134       00:03:46.396 +10:01:37.81 2000.0 20.71 r 2698 1 1 -98
9004364847       00:03:36.115 +10:01:13.02 2000.0 21.36 r 1829 1 1 -98
9225310070       00:03:41.436 +10:00:58.93 2000.0 21.32 r  929 1 1 -98
9311929656       00:03:43.478 +10:01:27.32 2000.0 21.10 r  513 1 1 -98
9401659312       00:03:45.642 +10:01:26.23 2000.0 21.51 r  673 1 1 -98
9425859548       00:03:46.214 +10:01:27.23 2000.0 21.20 r 4024 1 1 -98
8947786513       00:03:34.768 +10:00:47.87 2000.0 20.11 r 7539 1 1 -98
9183379436       00:03:40.401 +10:00:56.57 2000.0 22.02 r  226 1 1 -98
9295327017       00:03:43.101 +10:00:49.40 2000.0 21.42 r  552 1 1 -98
9386650579       00:03:45.265 +10:00:30.04 2000.0 20.70 r 1587 1 1 -98
8862328058       00:03:32.713 +09:59:22.46 2000.0 19.81 r 14315 1 1 -98
8951225813       00:03:34.833 +09:59:15.88 2000.0 21.37 r  200 1 1 -98
9039316445       00:03:36.957 +09:59:17.56 2000.0 21.23 r  925 1 1 -98
9447034185       00:03:46.733 +09:59:11.05 2000.0 21.18 r  701 1 1 -98
9205705346       00:03:40.939 +10:02:14.41 2000.0 20.94 r 5372 1 1 -98
9391996099       00:03:45.414 +10:02:16.82 2000.0 21.08 r 1602 1 1 -98
9406157982       00:03:45.741 +10:02:22.28 2000.0 20.75 r 4434 1 1 -98
9406910081       00:03:45.775 +10:01:58.83 2000.0 21.57 r  461 1 1 -98
9753933501       00:03:54.096 +10:02:08.94 2000.0 21.08 r 3197 1 1 -98
9771647493       00:03:54.518 +10:02:20.77 2000.0 20.68 r 3581 1 1 -98
9378137637       00:03:45.051 +10:02:50.87 2000.0 20.83 r   50 1 1 -98
9386401358       00:03:45.270 +10:03:02.51 2000.0 20.96 r 2367 1 1 -98
9429832840       00:03:46.318 +10:03:06.96 2000.0 20.60 r 2257 1 1 -98
9458663837       00:03:47.012 +10:03:09.95 2000.0 21.12 r 2827 1 1 -98
9733515895       00:03:53.593 +10:03:16.02 2000.0 20.17 r 6879 1 1 -98
9737601749       00:03:53.703 +10:03:03.34 2000.0 21.90 r  561 1 1 -98
9253837606       00:03:42.082 +10:03:51.42 2000.0 21.52 r  931 1 1 -98
9511896412       00:03:48.292 +10:03:47.77 2000.0 20.12 r 4144 1 1 -98
9550556784       00:03:49.217 +10:03:48.77 2000.0 21.43 r 1232 1 1 -98
9628658624       00:03:51.088 +10:04:24.13 2000.0 21.22 r 1872 1 1 -98
9740949352       00:03:53.775 +10:04:26.79 2000.0 21.49 r  505 1 1 -98
