# ra(deg)          dec(deg)    z     z_uncertainty
0.85202 9.879859 -0.000676 9e-06
0.824298 10.045053 2.28173 0.00029
0.824737 10.088015 0.766478 0.000328
0.903211 10.035213 0.364629 7.7e-05
0.813459 10.150465 2.00238 0.000631
0.816843 9.974187 0.000449 1.2e-05
0.984291 10.04374 0.426815 0.000121
0.987704 10.093522 0.434272 9.1e-05
0.970086 10.055098 0.241318 3.3e-05
0.971787 10.139253 5e-06 0.00012
0.94864 10.062299 0.378562 0.000117
0.96545 10.028827 0.419756 0.000119
0.946111 10.032861 0.369926 0.000142
0.926294 10.040908 0.368877 0.0001
0.967255 9.999327 0.419962 6.2e-05
0.904521 9.957892 0.728092 0.000225
0.981688 9.984784 1.84263 0.000755
0.97755 10.035538 0.366287 0.000111
0.925805 9.970877 0.381871 8.6e-05
0.937615 9.984499 0.380149 0.000131
0.956179 9.995487 0.373115 0.000103
1.018224 10.024417 1.64136 0.00058
0.97862 10.092191 0.370987 0.000102
0.956138 10.034131 0.369002 0.000121
0.932399 10.03246 0.381976 9.6e-05
1.007186 10.133807 0.749127 0.00041
0.957942 10.05429 0.374096 0.00012
0.954052 10.160223 -0.000345 7.6e-05
0.909801 9.991723 0.376119 8e-05
0.898826 10.091203 0.383928 9.7e-05
0.865027 10.065372 0.37173 0.000151
0.886301 9.989569 0.375553 9.1e-05
0.870587 10.139771 3.5e-05 5.5e-05
0.824197 9.972173 1.25829 0.000319
