RA,DEC,z,delta_z
4.979083333333333,3.461805555555556,-0.000582,3.2e-05
4.995958333333332,3.5009361111111112,0.264519,4.7e-05
4.958708333333332,3.5251305555555557,0.722743,0.000298
4.937458333333333,3.520036111111111,0.264391,4.4e-05
5.041458333333333,3.5162416666666667,0.470306,0.000161
4.911083333333333,3.5992555555555557,0.26904,5e-05
4.906874999999999,3.6302,0.264153,4e-05
4.863833333333332,3.557025,0.269748,4.2e-05
4.879583333333332,3.530116666666667,0.624954,0.000199
4.801583333333332,3.6106611111111113,0.495101,9.3e-05
4.894624999999999,3.5728777777777774,0.643957,0.000369
4.840999999999999,3.6660388888888886,0.266013,4.7e-05
4.83125,3.60085,0.493576,0.000126
4.893249999999999,3.6793888888888886,2.17505,0.000473
4.768749999999999,3.453163888888889,0.456766,0.000141
4.927624999999999,3.683466666666667,0.376242,6.2e-05
4.778416666666666,3.5946444444444445,0.819543,0.000315
4.783833333333333,3.738252777777778,0.66561,0.000175
4.858624999999999,3.7165500000000002,0.266993,7.1e-05
4.950208333333332,3.695216666666667,0.268402,3.9e-05
4.909583333333332,3.578672222222222,0.264035,4.9e-05
4.903499999999999,3.6203805555555557,0.269641,5.3e-05
5.030124999999999,3.650225,-0.000107,6e-05
4.895583333333333,3.452566666666667,0.62463,0.000188
4.952291666666666,3.5820666666666665,0.261988,6.2e-05
4.909333333333332,3.6706416666666666,0.749192,0.000402
5.016541666666666,3.696330555555556,1.10275,0.000199
4.927416666666666,3.599330555555556,0.268286,0.000123
4.925874999999999,3.6550416666666665,0.259952,2.4e-05
4.857499999999999,3.536538888888889,0.824397,2.1e-05
4.888916666666666,3.602666666666667,0.257274,5.1e-05
4.866374999999999,3.619441666666667,0.262957,4.3e-05
4.844583333333333,3.568511111111111,0.979089,0.000165
4.813458333333333,3.6792944444444444,-0.000203,0.000136
4.884499999999999,3.633388888888889,0.264331,6.6e-05
4.862083333333333,3.7325500000000003,0.881752,0.000596
4.820708333333333,3.656325,0.822273,0.000193
4.874666666666665,3.545558333333333,1.14282,0.000926
4.891416666666665,3.572172222222222,1.65794,0.000452
4.771583333333332,3.5273416666666666,0.639723,0.000206
4.804166666666666,3.4984472222222225,1.05994,0.000438
4.778499999999999,3.579372222222222,0.494673,5.4e-05
4.770708333333332,3.743088888888889,0.667648,0.000221
4.767624999999999,3.706541666666667,1.79547,0.001772
4.789041666666666,3.7335611111111113,0.883594,3.4e-05
4.834249999999999,3.643847222222222,0.711955,0.000134
4.958125,3.747988888888889,1.17837,9.2e-05
4.804874999999999,3.550063888888889,0.891398,6.6e-05
5.001791666666666,3.7317472222222223,0.730555,5.3e-05
4.928749999999999,3.6512083333333334,0.510448,2.2e-05
4.889291666666666,3.5872111111111114,0.823883,6e-05
5.031624999999999,3.544111111111111,0.966999,9e-05
5.02075,3.4970333333333334,0.92125,0.000162
4.927083333333333,3.5102527777777777,1.00004,5.5e-05
4.898249999999999,3.634533333333333,0.82936,2.7e-05
5.002708333333333,3.7132666666666667,1.07308,0.000144
4.985083333333332,3.686891666666667,0.718819,0.000194
4.8211249999999986,3.4748805555555555,0.801177,0.000112
4.919208333333333,3.5356888888888887,0.718749,5.4e-05
4.839666666666666,3.546797222222222,0.892794,6.5e-05
4.778083333333332,3.5396888888888887,0.945295,8.3e-05
