OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
4716533156,01:09:53.177,+33:08:37.74,2000.0,21.07,r,2841,1,1,80
4739897808,01:09:53.751,+33:08:51.75,2000.0,21.45,r,1344,1,1,80
5219314428,01:10:05.236,+33:08:41.38,2000.0,20.91,r,1634,1,1,80
4451306532,01:09:46.847,+33:09:17.96,2000.0,20.62,r,1671,1,1,80
4663531290,01:09:51.922,+33:09:02.21,2000.0,21.28,r,1296,1,1,80
4944990694,01:09:58.676,+33:09:00.39,2000.0,20.55,r,2091,1,1,80
5233725065,01:10:05.617,+33:09:13.44,2000.0,21.86,r,1098,1,1,80
5234483157,01:10:05.621,+33:09:37.45,2000.0,21.77,r,307,1,1,80
4880674500,01:09:57.130,+33:10:11.27,2000.0,22.19,r,442,1,1,80
5077173683,01:10:01.847,+33:10:39.31,2000.0,21.44,r,1842,1,1,80
3120061483,01:09:14.892,+32:58:32.72,2000.0,20.82,r,4181,1,1,80
3259536957,01:09:18.243,+32:58:49.10,2000.0,21.19,r,838,1,1,80
2826484026,01:09:07.805,+32:59:10.27,2000.0,20.52,r,1826,1,1,80
3298076476,01:09:19.156,+32:59:17.71,2000.0,20.60,r,7345,1,1,80
2770446591,01:09:06.509,+32:59:47.91,2000.0,21.27,r,347,1,1,80
2727917602,01:09:05.466,+33:00:21.27,2000.0,21.71,r,423,1,1,80
2867528069,01:09:08.826,+33:00:22.74,2000.0,21.55,r,1686,1,1,80
3034598751,01:09:12.828,+33:00:24.51,2000.0,20.83,r,5847,1,1,80
3057951071,01:09:13.392,+33:00:01.53,2000.0,20.97,r,3196,1,1,80
3473519221,01:09:23.360,+33:00:25.79,2000.0,22.01,r,173,1,1,80
2868281113,01:09:08.834,+33:00:31.64,2000.0,21.79,r,1263,1,1,80
3202271713,01:09:16.808,+33:00:33.53,2000.0,20.82,r,1524,1,1,80
3004395100,01:09:12.056,+33:01:13.37,2000.0,20.89,r,6673,1,1,80
3169795142,01:09:16.110,+33:01:13.77,2000.0,20.26,r,2919,1,1,80
3212513878,01:09:17.098,+33:01:09.92,2000.0,19.89,r,1255,1,1,80
3333267061,01:09:20.000,+33:01:19.65,2000.0,19.66,r,930,1,1,80
3389915761,01:09:21.367,+33:01:15.53,2000.0,21.71,r,1310,1,1,80
3606305832,01:09:26.593,+33:01:15.90,2000.0,20.88,r,449,1,1,80
3029393782,01:09:12.722,+33:01:39.57,2000.0,21.44,r,411,1,1,80
3198773856,01:09:16.756,+33:01:40.28,2000.0,21.63,r,1353,1,1,80
3570332809,01:09:25.669,+33:01:36.81,2000.0,20.51,r,8576,1,1,80
3610874658,01:09:26.652,+33:01:42.16,2000.0,20.94,r,5598,1,1,80
3726389592,01:09:29.414,+33:01:57.01,2000.0,20.39,r,6645,1,1,80
3747130961,01:09:29.927,+33:01:31.27,2000.0,20.78,r,5823,1,1,80
3810704698,01:09:31.468,+33:01:42.17,2000.0,22.38,r,126,1,1,80
3995397055,01:09:35.887,+33:01:49.37,2000.0,21.60,r,629,1,1,80
3236534486,01:09:17.669,+33:02:11.88,2000.0,20.49,r,4174,1,1,80
3397892231,01:09:21.542,+33:02:04.76,2000.0,20.69,r,4660,1,1,80
3528876742,01:09:24.679,+33:02:18.30,2000.0,20.67,r,6777,1,1,80
3752683257,01:09:30.069,+33:02:08.12,2000.0,20.29,r,9,1,1,80
3843170294,01:09:32.302,+33:01:59.57,2000.0,20.90,r,2961,1,1,80
3851446402,01:09:32.439,+33:02:17.42,2000.0,21.07,r,3789,1,1,80
3990376884,01:09:35.764,+33:02:18.95,2000.0,22.00,r,2088,1,1,80
3362916643,01:09:20.734,+33:02:48.14,2000.0,21.61,r,805,1,1,80
3708961077,01:09:29.019,+33:02:30.94,2000.0,21.04,r,3704,1,1,80
3938385548,01:09:34.513,+33:02:44.68,2000.0,21.79,r,475,1,1,80
4000329039,01:09:36.038,+33:02:55.39,2000.0,21.73,r,1570,1,1,80
3380764362,01:09:21.121,+33:03:11.84,2000.0,21.58,r,1416,1,1,80
3922970985,01:09:34.155,+33:03:00.95,2000.0,20.11,r,9635,1,1,80
3961786035,01:09:35.061,+33:03:16.33,2000.0,21.39,r,2471,1,1,80
4012024045,01:09:36.296,+33:03:10.35,2000.0,21.40,r,1470,1,1,80
4080828079,01:09:37.946,+33:03:22.49,2000.0,22.29,r,391,1,1,80
4061796129,01:09:37.467,+33:03:46.80,2000.0,21.78,r,1169,1,1,80
4079269133,01:09:37.924,+33:03:55.82,2000.0,20.89,r,65,1,1,80
3458562741,01:09:23.019,+33:04:06.42,2000.0,20.77,r,3267,1,1,80
3823319839,01:09:31.751,+33:04:28.02,2000.0,21.76,r,1449,1,1,80
3969482041,01:09:35.270,+33:04:04.45,2000.0,20.84,r,9200,1,1,80
4062763410,01:09:37.509,+33:04:38.49,2000.0,21.45,r,981,1,1,80
4083815101,01:09:38.007,+33:04:43.27,2000.0,22.11,r,137,1,1,80
4218273655,01:09:41.206,+33:04:39.39,2000.0,21.03,r,6185,1,1,80
4408003644,01:09:45.805,+33:04:39.25,2000.0,21.57,r,2286,1,1,80
3827148122,01:09:31.857,+33:05:22.51,2000.0,22.41,r,86,1,1,80
4020394852,01:09:36.509,+33:05:12.81,2000.0,22.17,r,184,1,1,80
4284849827,01:09:42.850,+33:05:27.78,2000.0,21.65,r,1239,1,1,80
4399667901,01:09:45.591,+33:05:22.01,2000.0,21.29,r,5115,1,1,80
4440827780,01:09:46.569,+33:05:21.70,2000.0,21.97,r,169,1,1,80
4487598092,01:09:47.720,+33:05:22.58,2000.0,21.15,r,2347,1,1,80
4630575396,01:09:51.129,+33:05:14.21,2000.0,20.96,r,2557,1,1,80
3990430958,01:09:35.779,+33:05:31.42,2000.0,21.27,r,947,1,1,80
4137258149,01:09:39.280,+33:05:52.96,2000.0,21.26,r,1432,1,1,80
4699006548,01:09:52.767,+33:06:17.81,2000.0,21.80,r,567,1,1,80
4782143638,01:09:54.747,+33:06:08.86,2000.0,21.71,r,835,1,1,80
4099704968,01:09:38.382,+33:06:42.78,2000.0,21.75,r,1695,1,1,80
4526798054,01:09:48.626,+33:06:52.57,2000.0,21.48,r,1798,1,1,80
4559221917,01:09:49.418,+33:06:33.79,2000.0,20.86,r,1356,1,1,80
4880278144,01:09:57.135,+33:06:52.66,2000.0,21.91,r,594,1,1,80
4181976206,01:09:40.343,+33:07:16.50,2000.0,21.70,r,997,1,1,80
4385421982,01:09:45.243,+33:07:04.08,2000.0,20.82,r,3511,1,1,80
4618238601,01:09:50.839,+33:07:23.81,2000.0,21.32,r,418,1,1,80
4740845397,01:09:53.780,+33:07:14.44,2000.0,20.38,r,8857,1,1,80
5116784656,01:10:02.805,+33:07:12.70,2000.0,21.20,r,1124,1,1,80
4195797890,01:09:40.686,+33:07:52.05,2000.0,21.02,r,3332,1,1,80
4785150635,01:09:54.842,+33:08:00.08,2000.0,21.27,r,3344,1,1,80
