OBJNAME,RA,DEC,EQX,MAG,band,PCODE,LIST,SEL?,PA
3946659911,01:09:34.710,+33:08:57.91,2000.0,21.86,r,385,1,0,65
4117852473,01:09:38.819,+33:08:35.22,2000.0,22.22,r,935,1,0,65
4122388146,01:09:38.941,+33:08:52.59,2000.0,21.73,r,1063,1,0,65
4710905073,01:09:53.060,+33:08:43.44,2000.0,20.75,r,523,1,0,65
4716533156,01:09:53.176,+33:08:37.72,2000.0,21.07,r,1719,1,0,65
4905022322,01:09:57.727,+33:08:34.93,2000.0,20.58,r,1485,1,0,65
3026379181,01:09:12.623,+32:55:56.06,2000.0,21.32,r,1634,1,0,65
3190451002,01:09:16.569,+32:55:31.16,2000.0,21.19,r,1157,1,0,65
3437911378,01:09:22.511,+32:55:32.39,2000.0,21.03,r,9,1,0,65
4185842329,01:09:40.461,+32:55:35.18,2000.0,22.14,r,789,1,0,65
4211165960,01:09:41.100,+32:55:45.84,2000.0,21.46,r,882,1,0,65
4322761125,01:09:43.752,+32:55:31.54,2000.0,21.44,r,9,1,0,65
4440164295,01:09:46.531,+32:55:41.63,2000.0,21.31,r,2019,1,0,65
2909262054,01:09:09.801,+33:09:04.82,2000.0,21.78,r,373,1,0,65
2970290804,01:09:11.278,+33:09:00.84,2000.0,19.96,r,1315,1,0,65
3143522331,01:09:15.422,+33:09:05.05,2000.0,21.60,r,746,1,0,65
3510434251,01:09:24.253,+33:09:11.46,2000.0,20.02,r,37,1,0,65
3928184774,01:09:34.276,+33:09:12.53,2000.0,21.56,r,253,1,0,65
4009168772,01:09:36.223,+33:09:24.54,2000.0,21.93,r,161,1,0,65
4009840341,01:09:36.258,+33:08:58.92,2000.0,20.59,r,535,1,0,65
4037319504,01:09:36.902,+33:09:27.26,2000.0,20.50,r,1021,1,0,65
4944990694,01:09:58.674,+33:09:00.37,2000.0,20.55,r,1097,1,0,65
5133051221,01:10:03.182,+33:09:01.69,2000.0,21.39,r,925,1,0,65
3115131823,01:09:14.709,+32:56:03.49,2000.0,21.94,r,261,1,0,65
3154135369,01:09:15.683,+32:56:14.35,2000.0,21.25,r,868,1,0,65
3436201437,01:09:22.465,+32:56:02.65,2000.0,21.36,r,277,1,0,65
3207112462,01:09:16.956,+32:56:35.42,2000.0,21.18,r,425,1,0,65
3276299475,01:09:18.621,+32:56:56.67,2000.0,21.40,r,1133,1,0,65
3306996961,01:09:19.366,+32:56:49.11,2000.0,20.72,r,16,1,0,65
3375876506,01:09:21.019,+32:56:47.51,2000.0,21.87,r,438,1,0,65
3467520986,01:09:23.209,+32:56:31.13,2000.0,21.51,r,951,1,0,65
3518555455,01:09:24.446,+32:56:44.52,2000.0,21.60,r,155,1,0,65
4153273322,01:09:39.732,+32:56:38.03,2000.0,20.75,r,2998,1,0,65
4534553022,01:09:48.834,+32:56:37.25,2000.0,22.00,r,339,1,0,65
4636278765,01:09:51.266,+32:56:54.37,2000.0,21.20,r,11,1,0,65
4686381237,01:09:52.478,+32:56:31.87,2000.0,21.80,r,547,1,0,65
4971227317,01:09:59.313,+32:56:50.24,2000.0,21.51,r,346,1,0,65
3241515117,01:09:17.797,+33:10:13.48,2000.0,21.20,r,411,1,0,65
3393044912,01:09:21.447,+33:10:13.08,2000.0,21.93,r,42,1,0,65
4020783368,01:09:36.511,+33:10:08.35,2000.0,20.71,r,2046,1,0,65
4183814676,01:09:40.415,+33:10:12.31,2000.0,21.48,r,975,1,0,65
4220574873,01:09:41.288,+33:10:12.81,2000.0,20.89,r,2448,1,0,65
4286543762,01:09:42.886,+33:10:09.58,2000.0,21.44,r,1010,1,0,65
4467310458,01:09:47.205,+33:09:59.47,2000.0,21.68,r,654,1,0,65
