objID,raMean,decMean,rMeanKronMag
109610349456309815,34.94565555,1.34947818,-999.0
109610349542858638,34.95426379,1.34849347,-999.0
109610349570608261,34.95708296,1.34819423,20.354900360107422
109610349577359681,34.95773376,1.34937206,-999.0
109610349600979149,34.96011451,1.34893056,20.53499984741211
109610349617548090,34.96175848,1.34806538,-999.0
109610349618989013,34.96192574,1.34881455,21.784299850463867
109610349640048880,34.96400438,1.34870589,-999.0
109610349695228063,34.96949901,1.34803155,-999.0
109610349729028148,34.97290386,1.34810894,-999.0
109610349749739142,34.97497465,1.34893498,-999.0
109610349750919672,34.97508996,1.34937794,-999.0
109610349795798607,34.97957953,1.3484759,-999.0
109610349799789109,34.98000098,1.34888742,-999.0
109640349914067425,34.99142419,1.37247445,-999.0
109640349915270718,34.9915255,1.36690614,-999.0
109640349916874674,34.9916993,1.3701818,-999.0
109640349920286283,34.99202374,1.37153581,-999.0
109640349928230581,34.99282098,1.36677885,-999.0
109640349932699954,34.99326531,1.37459721,-999.0
109640349935060527,34.99350778,1.36674665,-999.0
109640349938983982,34.99391129,1.36961595,-999.0
109640349941541882,34.99415196,1.36786329,-999.0
109640349941652779,34.99416696,1.36862236,-999.0
109640349945610605,34.99456315,1.3668117,-999.0
109640349954903358,34.99562855,1.36901773,-999.0
109640349957464293,34.99574516,1.36987894,-999.0
109640349961527782,34.99616296,1.37275376,-999.0
109640349962354865,34.99609592,1.37040357,-999.0
109640349962413760,34.99624472,1.36944593,-999.0
109640349964446808,34.99648565,1.37198999,-999.0
109640349968196815,34.99685855,1.37199967,-999.0
109640349968673486,34.99686852,1.36921116,-999.0
109640349971977865,34.99719133,1.37285176,-999.0
109640349979893802,34.99803004,1.369484,-999.0
109640349989647559,34.99900286,1.3726137,-999.0
109640349995590471,34.99956204,1.36668475,-999.0
109640349997046576,34.99970889,1.37176227,-999.0
109640350002075180,35.00023669678553,1.3706116889658848,-999.0
109640350004017518,35.00043747,1.37258221,-999.0
109640350009369595,35.000936298337315,1.3743310693526514,19.44580078125
109640350010659970,35.00105767,1.37460962,-999.0
109640350010869203,35.00107653,1.37396692,-999.0
109640350012376122,35.00123676,1.37140286,-999.0
109640350012460660,35.00124544,1.36685496,-999.0
109640350012869563,35.00125917,1.37434488,21.008699417114258
109640350017130789,35.00173002,1.36694724,-999.0
109640350028659015,35.0028953,1.37382813,-999.0
109640350032242434,35.00322464,1.36833358,-999.0
109640350037731423,35.00378641,1.36748071,-999.0
109640350062990937,35.00630858,1.36707459,-999.0
109640350082048119,35.00817493414832,1.3729982004661294,-999.0
109640350086757921,35.0086671,1.37290113,-999.0
109640350087638713,35.00865082,1.37353158,-999.0
109640350090000338,35.00899204,1.36658051,-999.0
109640350095736120,35.00958019,1.37138034,-999.0
109640350098243730,35.00982912,1.36939781,-999.0
109640350102170360,35.01021678,1.36660885,-999.0
109640350106790405,35.01067248,1.36664431,-999.0
109640350107913835,35.01077991,1.36949227,-999.0
109640350115333495,35.01165066,1.36935636,-999.0
109640350141609837,35.01398828829116,1.3745398072772892,-999.0
109640350148564879,35.01485156,1.37036092,-999.0
109640350154946752,35.01548582,1.37192624,-999.0
109640350160216019,35.01602091,1.37131799,-999.0
109640350161883342,35.01617609,1.36907682,-999.0
109640350163620722,35.01636277,1.36688908,-999.0
109640350172146280,35.01708116,1.37148917,-999.0
109640350179483100,35.01794171,1.36887695,-999.0
109640350180962372,35.01810161,1.36828385,-999.0
109640350181961972,35.0181997,1.36793504,-999.0
109640350183428377,35.01820676,1.37323492,-999.0
109640350204092904,35.02041429,1.36869802,-999.0
109640350208400075,35.02084815,1.36633854,-999.0
109640350221992936,35.02220068,1.36873373,-999.0
109640350223544158,35.02235136,1.36975419,-999.0
109640350223901071,35.0224889,1.36722777,-999.0
109640350225320377,35.02253472,1.36662469,-999.0
109640350232742873,35.02327236,1.36867763,-999.0
109640350249118501,35.0249117,1.37336712,-999.0
109640350250631244,35.02506556,1.36734691,-999.0
109640350253403295,35.02535306,1.36903114,-999.0
109640350256861895,35.02568367,1.36788918,-999.0
109640350259419638,35.0259418,1.37431785,-999.0
109640350260188673,35.02601719,1.3735133,-999.0
109640350270216266,35.02702352,1.37151427,17.584400177001953
109640350275882997,35.02761268,1.36880734,-999.0
109640350280835946,35.02808468,1.37124691,18.2406005859375
109640350281157637,35.02810561,1.37266517,-999.0
109640350288184232,35.02882531,1.36982898,-999.0
109640350289260672,35.02891728,1.3668608,-999.0
109640350296537607,35.02965354,1.37261749,-999.0
109640350296922212,35.02970169,1.3681308,-999.0
109640350299536613,35.02994498,1.37180048,-999.0
109640350305962372,35.03059927,1.36826803,-999.0
109640350306637089,35.03066446,1.37219357,-999.0
109640350325454295,35.03255512,1.36987432,-999.0
109640350325837401,35.03257338,1.37245664,-999.0
109640350355516255,35.03555459,1.37149526,-999.0
109640350359828382,35.03597355,1.37326969,-999.0
109640350368181221,35.03682135,1.3672965,-999.0
109640350373253561,35.0373219,1.36927426,-999.0
109640350375583770,35.03765499,1.36949852,-999.0
109640350375655894,35.03756442,1.37119989,-999.0
109640350376044593,35.03760388,1.37012925,-999.0
109640350380334175,35.03804156709593,1.3697715972044178,19.341899871826172
109640350382012864,35.03819557,1.36867335,-999.0
109640350383667833,35.03837422,1.37280843,-999.0
109640350386125476,35.03861989,1.3708684,-999.0
109640350393300159,35.03933204,1.36643133,-999.0
109640350398316870,35.03983385,1.37202453,-999.0
109640350413619124,35.04135339,1.37389375,-999.0
109640350414845254,35.04148835,1.37066031,-999.0
109640350415215610,35.0415371,1.37097712,-999.0
109640350418292390,35.04182688,1.3682931,-999.0
109640350419668825,35.041952158377576,1.3736067716838682,20.724000930786133
109640350433629434,35.04335052,1.37415319,-999.0
109640350434707668,35.04347435,1.37266936,-999.0
109640350441149850,35.04411468,1.37450977,-999.0
109640350441169851,35.04411688,1.37451059,-999.0
109640350452977668,35.04529695,1.37268968,-999.0
109640350455864901,35.04571650911268,1.3703349399208031,-999.0
109640350457894586,35.045780550844775,1.3702034741140796,22.102699279785156
109640350459756977,35.04597508,1.37212433,-999.0
109640350461328942,35.04613454,1.37373585,-999.0
109640350466419049,35.04664043,1.37385099,-999.0
109680350446613363,35.04465402,1.4024394,-999.0
109680350452880794,35.04528048,1.40029883,-999.0
109680350469671787,35.04695881,1.40112207,-999.0
109680350470121014,35.04701185,1.40048016,-999.0
109680350471325975,35.0471326,1.40461758,-999.0
109680350491631949,35.0491634,1.40124731,-999.0
109680350498581434,35.0498639,1.40079648,-999.0
109680350518766360,35.05177347,1.40499473,-999.0
109680350524893548,35.0524846,1.40255947,-999.0
109680350526066661,35.05260087,1.40526577,-999.0
109680350543850725,35.05437294,1.40021415,-999.0
109680350544911270,35.05448733,1.40068363,-999.0
109680350546780857,35.05466665,1.40033116,-999.0
109680350555134176,35.05552148,1.40310345,-999.0
109680350568666913,35.05685532,1.40538651,-999.0
109680350571225314,35.05710863,1.40405262,-999.0
109680350572311600,35.05721934,1.4009512,-999.0
109680350572805621,35.05723489698943,1.4043093689258903,21.515399932861328
109680350577522717,35.05774432,1.40190609,-999.0
109680350578830420,35.05787948,1.3999923,-999.0
109680350578939659,35.05795811,1.40768103,-999.0
109680350581661952,35.05815408,1.40124439,-999.0
109680350591208669,35.05910785,1.40686115,-999.0
109680350594122188,35.05940182,1.40143248,-999.0
109680350595073055,35.05951437,1.40216976,-999.0
109680350596222417,35.05961183,1.40163207,-999.0
109680350602288204,35.0603212,1.40649919,-999.0
109680350610985668,35.06109859,1.40437111,-999.0
109680350616985876,35.06175944,1.40452815,-999.0
109680350629971989,35.06300276,1.40128217,-999.0
109680350637987212,35.0637995,1.40563344,19.134000778198242
109680350642607530,35.06443073,1.40597601,-999.0
109680350645216234,35.06450852,1.40483105,-999.0
109680350645358672,35.06453696,1.40684445,-999.0
109680350647443735,35.06474436,1.40273146,-999.0
109680350651021966,35.06509328,1.4012488,-999.0
109680350652291102,35.06533252,1.40063006,-999.0
109680350654639682,35.06546623,1.40768887,17.759000778198242
109680350661956259,35.06618684,1.40482117,-999.0
109680350666816557,35.06666879,1.40505753,-999.0
109680350669064053,35.06690458,1.40299664,18.791500091552734
109680350672254087,35.06721337,1.40299961,-999.0
109680350674873219,35.06747875,1.40229987,-999.0
109680350678103378,35.06780451,1.40241337,-999.0
109680350682218481,35.06823025086517,1.406652311674446,21.088499069213867
109680350682570333,35.06826151,1.39990269,-999.0
109680350685539290,35.068408217300835,1.407465715606922,20.55699920654297
109680350692117067,35.06919045,1.4054574,-999.0
109680350701722981,35.07016571,1.40212581,-999.0
109680350704243933,35.07044907,1.40290521,-999.0
109680350721909921,35.0721808,1.40786551,-999.0
109680350724845199,35.07248786,1.4039501,-999.0
109680350727694329,35.07276074,1.40320648,-999.0
109680350728054876,35.0728,1.40369508,-999.0
109680350732271766,35.07332764,1.40106066,-999.0
109680350734550497,35.07344461,1.40002114,-999.0
109680350735171978,35.07351671,1.40128801,-999.0
109680350736716961,35.07366505,1.40539851,-999.0
109680350739934066,35.07398715,1.40298551,-999.0
109680350743291710,35.0743289,1.40106478,-999.0
109680350744171304,35.07441124,1.40072893,-999.0
109680350747114435,35.0746997,1.40330177,-999.0
109680350750550356,35.07504983,1.39989536,-999.0
109680350751789499,35.07516817,1.40751398,-999.0
109680350754455360,35.07543725,1.40406519,-999.0
109680350755255850,35.07546477,1.40448241,14.1899995803833
109680350756097811,35.07559992,1.40610779,-999.0
109680350757782747,35.07577477,1.40192169,-999.0
109680350761064389,35.07610626,1.40329225,-999.0
109680350763284692,35.07632845,1.40354512,-999.0
109680350766862270,35.07662697,1.40149945,-999.0
109680350767443963,35.0766892,1.40291093,13.859299659729004
109680350769248726,35.07690461,1.40688678,-999.0
109680350778704402,35.07787133,1.4032669,-999.0
109680350778895651,35.07786992,1.4043234,-999.0
109680350785617067,35.07858686,1.40554537,-999.0
109680350787447070,35.07874465,1.40552606,-999.0
109680350787709771,35.07876201,1.40777408,-999.0
109680350791545424,35.07927213,1.40422621,-999.0
109680350791853171,35.07917978,1.40227381,-999.0
109680350796477084,35.07967355,1.40556028,-999.0
109680350799939139,35.07998559,1.40724738,-999.0
109680350801060851,35.08024434,1.40039615,-999.0
109680350805909451,35.08057107,1.40751263,-999.0
109680350812939017,35.08129357045864,1.4071423725703072,16.251300811767578
109680350814292266,35.08142624,1.4015031,-999.0
109680350818765892,35.08188308,1.40453094,-999.0
109680350828405862,35.08286264,1.40435276,-999.0
109680350835567574,35.08354879,1.40594376,-999.0
109690348429187648,34.84292521,1.41434441,-999.0
109690348446387412,34.84463895,1.41415321,-999.0
109690348448347673,34.8448686789556,1.4143671280937167,18.559900283813477
109690348448516506,34.84485352,1.41340597,-999.0
109690348451697400,34.84517637,1.41413799,-999.0
109690348466197070,34.84662068,1.41386486,-999.0
