objID,raMean,decMean,rMeanKronMag,nDetections
109840351104594059,35.11030293,1.53642495,-999.0,2
109830351106598737,35.11067875,1.53193498,20.882400512695312,46
109850351489234357,35.14893528,1.54497429,21.79159927368164,3
109850351541120003,35.15412475,1.54130569,21.67490005493164,59
109850351517107940,35.1517572,1.54786597,18.635900497436523,75
109850351430577016,35.14307414,1.54713524,20.02120018005371,67
109850351436656697,35.14372205,1.54687701,-999.0,5
109850351459785098,35.14597195,1.54550453,20.329500198364258,76
109860351385231399,35.13851875,1.55075975,-999.0,2
109860351419131619,35.14195735,1.55094116,21.52079963684082,32
109860351372209691,35.1373144,1.55778166,21.49250030517578,3
109870351373660030,35.13736988,1.5578704,-999.0,10
109860351466394786,35.14660635,1.55352797,-999.0,2
109880351406174484,35.14053724,1.57001866,-999.0,2
109870351420514704,35.14200168,1.56184616,-999.0,2
109870351456573311,35.14569779,1.56067362,-999.0,2
109860351453570966,35.14543022,1.55047358,-999.0,4
109860351462564699,35.14627613,1.55354802,20.195100784301758,65
109860351436846663,35.14371904,1.55514996,-999.0,2
109870348026130598,34.80263418,1.55844844,-999.0,2
109880348013540744,34.80149462,1.5668514,-999.0,2
109850347982585912,34.79831285,1.54622682,-999.0,2
109850347831879599,34.78320414,1.54921254,-999.0,2
109850347932052863,34.79313475,1.54368535,20.881099700927734,46
109870347880708238,34.78808531,1.56481149,-999.0,2
109870347870978408,34.78704564,1.56502241,-999.0,30
109970348724228351,34.87248479,1.64826688,-999.0,2
109980348820725417,34.88212231,1.65411275,-999.0,3
109980348812684238,34.88122412,1.6531019,-999.0,2
109980348795807108,34.87960334,1.6555266,21.250099182128906,62
109980348733364406,34.87341076,1.65342058,-999.0,2
109980348729754449,34.87304479,1.65332931,20.554500579833984,55
109960348875279549,34.88755461,1.64089495,21.388900756835938,25
109970348815180630,34.88154106,1.64179886,-999.0,15
109960348863301793,34.88641098,1.63444894,-999.0,2
109970348718580483,34.87195412,1.64172943,-999.0,2
109970348741792622,34.87419443,1.64339637,20.918699264526367,37
109950348835840120,34.88358041,1.62469997,21.50279998779297,44
109950348838289543,34.88376708,1.63248671,21.334400177001953,3
109950348836063311,34.88355921,1.62743261,20.176599502563477,2
109960348836061072,34.88347524,1.63393926,20.815799713134766,29
109960348833031596,34.88336776,1.63409419,20.370100021362305,3
109950349471630227,34.9472941,1.62479433,-999.0,2
109940349434716563,34.94331355,1.62182732,21.02910041809082,26
109940349432286728,34.94333684,1.62183574,-999.0,2
109940349429267660,34.94290134,1.6227467,20.873899459838867,3
109940349424447942,34.94243107,1.6228973,21.291500091552734,2
109950349431131547,34.94299031,1.62598457,-999.0,9
