# ra(deg)          dec(deg)    z     z_uncertainty
350.19358333333327 29.069558333333333 0.456386 0.000196
350.1203333333333 29.272241666666666 0.495591 0.000161
350.15691666666663 29.196372222222223 0.499149 0.000114
350.1611666666666 29.125555555555557 -0.000692 9e-06
350.2618333333333 29.338802777777776 0.477239 0.000174
350.3177083333333 29.26741388888889 0.497652 0.000125
350.28425 29.22856111111111 0.499923 0.00015
350.17183333333327 29.25785 2.45537 0.001051
350.2464166666666 29.216849999999997 0.500683 0.000154
350.2199583333333 29.21283888888889 0.393331 0.00011
350.3075416666666 29.20638611111111 0.493616 0.000139
350.22870833333326 29.195191666666666 0.694806 0.000173
350.2681666666667 29.19231388888889 0.48862 0.000195
350.1839999999999 29.180258333333335 0.501589 0.000179
350.21425 29.15558611111111 0.502197 0.000105
350.2073333333333 29.17493888888889 0.687652 0.000251
350.36129166666666 29.275055555555554 0.482919 0.000129
350.3819583333333 29.160155555555555 0.492403 0.00014
350.3725 29.27371388888889 2.77109 0.000634
350.38820833333335 29.248641666666668 0.499025 0.000103
350.3317916666666 29.084891666666664 0.494628 0.000109
350.26937499999997 29.182111111111112 0.483905 0.00011
350.3147083333333 29.24103611111111 0.489181 0.000141
350.2742916666666 29.21494722222222 0.484669 0.000172
350.337 29.29671111111111 0.497789 0.00012
350.23366666666664 29.191775 0.484434 0.00013
350.258 29.196413888888888 0.494528 0.000175
350.2256666666666 29.17278055555556 0.57679 0.000185
350.2442083333333 29.213266666666666 0.511081 0.000137
350.14525 29.077222222222222 0.455934 0.000127
350.1557083333333 29.11976111111111 0.402049 9.6e-05
350.1669583333333 29.237580555555557 0.507691 0.000155
350.2650833333333 29.326519444444443 0.593893 0.000115
350.19737499999997 29.179219444444445 0.331466 5e-05
350.23008333333325 29.22839722222222 0.50347 0.00019
350.12883333333326 29.30168888888889 0.019736 9e-06
350.12454166666663 29.27598888888889 0.500211 0.0001
350.27225 29.091777777777775 0.663204 0.00012
350.15799999999996 29.202336111111112 1.00599 0.000211
350.2610833333333 29.216863888888888 0.498985 0.000139
350.2482916666666 29.183447222222224 0.31453 5.7e-05
350.253 29.31603888888889 1.77529 0.001246
350.26729166666667 29.192916666666665 0.485152 0.000148
350.24787499999996 29.20311388888889 0.494323 0.000138
350.2119583333333 29.235544444444447 0.745364 0.000181
350.1719166666666 29.32217222222222 -0.000482 7.2e-05
350.2282083333333 29.181205555555557 0.314902 9.6e-05
350.26504166666666 29.1666 0.500395 0.000108
350.2131666666666 29.166383333333332 0.503184 8.9e-05
350.41637499999996 29.227052777777775 1.53736 0.001075
350.39016666666663 29.283752777777778 0.594724 0.000158
350.3175 29.28616666666667 2.1663 0.000425
350.31874999999997 29.18791388888889 1.47532 0.000409
350.2892083333333 29.07896111111111 2.63501 0.000739
350.24816666666663 29.197394444444445 0.481596 0.000139
350.2850416666667 29.08427777777778 1.42844 0.000878
350.27437499999996 29.129491666666667 0.393024 0.000148
350.21083333333326 29.14390277777778 1.94543 0.000926
350.2179999999999 29.166327777777777 0.470708 0.000193
350.19520833333326 29.167355555555556 0.32922 0.000127
350.27208333333334 29.183641666666666 0.491691 0.000219
350.16570833333327 29.234891666666666 0.470195 0.00018
350.141625 29.204227777777778 -0.0005 4.8e-05
350.2491666666666 29.21693611111111 0.477482 0.000202
350.2748333333333 29.216416666666667 0.498887 0.000181
350.2244999999999 29.232674999999997 0.505317 0.000268
350.1908333333333 29.322625 1.16664 0.000722
350.1414166666666 29.338741666666664 1.00704 0.0006
350.14996 29.23916 0.50912 0.0
350.42444 29.20435 0.492791 0.0
350.11596 29.25019 0.138423 0.0
